ID_Cliente,Idade,Genero,Estado_Civil,Escolaridade,Numero_de_Dependentes,Tipo_de_Residencia,Renda_Anual,Valor_do_Emprestimo,Prazo_do_Emprestimo,Inadimplencia
1,35,F,Casado,Ensino Superior,1,Casa Própria,60000.0,10000.0,36.0,Não
2,28,F,,Ensino Médio,0,Casa Própria,40000.0,8000.0,24.0,Não
3,45,F,Casado,Pós-Graduação,2,Casa Alugada,24000.0,15000.0,48.0,Não
4,40,F,Divorciado,Ensino Superior,0,Casa Própria,,12000.0,36.0,Não
5,33,F,Casado,Ensino Médio,1,Casa Alugada,50000.0,9000.0,24.0,Sim
6,20,F,Casado,Ensino Superior,3,Casa Própria,90000.0,18000.0,48.0,Sim
7,42,F,Casado,Ensino Médio,2,Casa Própria,65000.0,14000.0,36.0,Não
8,38,F,Solteiro,Pós-Graduação,0,Apartamento Alugado,55000.0,11000.0,24.0,Sim
9,31,M,Solteiro,Ensino Médio,1,Apartamento Alugado,48000.0,8500.0,24.0,Sim
10,48,F,Solteiro,Ensino Superior,2,Casa Própria,75000.0,16000.0,48.0,Sim
11,36,M,Casado,Ensino Médio,1,Apartamento Próprio,62000.0,13000.0,36.0,Não
12,29,M,Solteiro,Ensino Superior,0,Casa Alugada,42000.0,10000.0,24.0,Sim
13,44,F,Casado,Ensino Médio,2,Casa Própria,24000.0,17000.0,48.0,Não
14,39,F,Divorciado,Pós-Graduação,1,Casa Própria,72000.0,14000.0,36.0,Não
15,32,F,Solteiro,Ensino Superior,0,Apartamento Alugado,52000.0,9000.0,24.0,Sim
16,51,F,Casado,Ensino Médio,3,Apartamento Alugado,85000.0,20000.0,48.0,Não
17,,F,Casado,Pós-Graduação,2,Casa Própria,,,,Não
18,37,F,,Ensino Médio,1,Casa Própria,63000.0,15000.0,36.0,Sim
19,30,F,Solteiro,Ensino Superior,0,Casa Alugada,,,,Sim
20,49,F,Casado,Ensino Superior,2,Apartamento Alugado,78000.0,16000.0,48.0,Não
21,34,F,Solteiro,Ensino Médio,1,Apartamento Alugado,54000.0,11000.0,36.0,Sim
22,27,M,Solteiro,Ensino Médio,0,Casa Própria,50000.0,7000.0,24.0,Sim
23,29,F,Divorciado,Ensino Superior,1,Casa Própria,73000.0,15000.0,36.0,Não
24,41,F,Casado,Pós-Graduação,2,Casa Própria,67000.0,16000.0,36.0,Não
25,23,F,Casado,Ensino Médio,1,Casa Própria,59000.0,11000.0,36.0,Não
26,28,F,Solteiro,Ensino Superior,0,Apartamento Próprio,41000.0,9000.0,24.0,Não
27,52,F,Solteiro,Pós-Graduação,3,Casa Própria,92000.0,20000.0,48.0,Não
28,47,F,Casado,Ensino Médio,2,Apartamento Alugado,76000.0,17000.0,36.0,Não
29,55,F,Casado,Ensino Superior,1,Casa Própria,63000.0,14000.0,36.0,Não
30,31,F,Solteiro,Ensino Médio,0,Casa Própria,47000.0,10000.0,24.0,Sim
31,50,F,Casado,Pós-Graduação,3,Casa Própria,83000.0,18000.0,48.0,Não
32,45,F,Divorciado,Ensino Superior,1,Casa Alugada,24000.0,14000.0,36.0,Não
33,40,M,Casado,Ensino Médio,2,Casa Própria,66000.0,16000.0,36.0,Não
34,35,F,Solteiro,Pós-Graduação,0,Apartamento Alugado,55000.0,12000.0,24.0,Sim
35,53,F,Casado,Ensino Médio,3,Apartamento Alugado,88000.0,21000.0,48.0,Não
36,48,F,Casado,Ensino Superior,2,Casa Própria,79000.0,17000.0,36.0,Não
37,33,F,Casado,Ensino Médio,1,Casa Própria,57000.0,13000.0,36.0,Sim
38,29,M,Solteiro,Ensino Superior,0,Casa Alugada,44000.0,8000.0,24.0,Não
39,46,F,Casado,Pós-Graduação,2,Casa Alugada,74000.0,16000.0,36.0,Não
40,41,F,Divorciado,Ensino Superior,1,Casa Própria,71000.0,15000.0,36.0,Não
41,36,F,Casado,Ensino Médio,2,Casa Própria,64000.0,16000.0,36.0,Não
42,31,M,Solteiro,Pós-Graduação,0,Casa Própria,49000.0,10000.0,24.0,Sim
43,51,F,Casado,Ensino Superior,2,Apartamento Alugado,82000.0,18000.0,48.0,Não
44,43,M,Casado,Ensino Médio,3,Casa Própria,69000.0,17000.0,36.0,Não
45,38,F,Divorciado,Pós-Graduação,0,Apartamento Alugado,73000.0,13000.0,24.0,Sim
46,30,F,Solteiro,Ensino Médio,1,Apartamento Alugado,48000.0,9500.0,24.0,Sim
47,,F,Solteiro,Ensino Superior,2,Casa Própria,80000.0,17000.0,36.0,Não
48,44,M,Solteiro,Pós-Graduação,3,Casa Própria,74000.0,18000.0,36.0,Não
49,39,F,Solteiro,Ensino Superior,0,Casa Alugada,67000.0,14000.0,24.0,Sim
50,34,F,Divorciado,Ensino Médio,1,Casa Alugada,56000.0,11000.0,36.0,Não
51,33,M,Solteiro,Ensino Médio,0,Casa Alugada,45000.0,8500.0,24.0,Não
52,52,F,Casado,Ensino Superior,2,Apartamento Próprio,85000.0,20000.0,48.0,Não
53,,F,Casado,Pós-Graduação,3,Apartamento Alugado,78000.0,18000.0,36.0,Não
54,42,F,Casado,Ensino Médio,1,Casa Própria,72000.0,16000.0,36.0,Não
55,37,F,Solteiro,Casa Própria,0,Casa Própria,63000.0,13000.0,24.0,Sim
56,32,M,Solteiro,Ensino Superior,1,Casa Própria,52000.0,10000.0,24.0,Não
57,53,F,Divorciado,Ensino Médio,2,Apartamento Próprio,85000.0,18000.0,48.0,Não
58,30,M,Solteiro,Pós-Graduação,3,Casa Própria,78000.0,19000.0,36.0,Não
59,43,F,Solteiro,Ensino Superior,0,Casa Alugada,71000.0,14000.0,24.0,Sim
60,38,M,Divorciado,Ensino Médio,1,Casa Própria,74000.0,16000.0,36.0,Não
61,33,F,Solteiro,Ensino Superior,1,Apartamento Alugado,24000.0,12000.0,36.0,Não
62,58,M,Solteiro,Ensino Médio,0,Casa Própria,39000.0,7000.0,24.0,Sim
63,46,F,Casado,Ensino Superior,1,Apartamento Alugado,73000.0,15000.0,36.0,Não
64,41,M,Casado,Pós-Graduação,2,Casa Própria,67000.0,16000.0,36.0,Não
65,46,M,Solteiro,Ensino Médio,1,Apartamento Próprio,,,,Não
66,31,F,Solteiro,Ensino Superior,0,Apartamento Alugado,46000.0,9000.0,24.0,Não
67,50,M,Casado,Ensino Médio,3,Apartamento Alugado,83000.0,19000.0,48.0,Não
68,45,M,Casado,Pós-Graduação,2,Casa Própria,78000.0,18000.0,36.0,Não
69,40,F,Divorciado,Ensino Superior,1,Casa Própria,71000.0,16000.0,36.0,Não
70,35,M,Casado,Ensino Médio,2,Casa Própria,64000.0,16000.0,36.0,Não
71,,F,Solteiro,Ensino Superior,0,Casa Própria,46000.0,11000.0,24.0,Não
72,49,F,Solteiro,Pós-Graduação,2,Apartamento Alugado,80000.0,17000.0,36.0,Não
73,34,F,Solteiro,Ensino Médio,1,Apartamento Alugado,53000.0,13000.0,36.0,Não
74,29,M,Casado,Ensino Superior,0,Casa Própria,42000.0,8000.0,24.0,Sim
75,54,F,Casado,Ensino Superior,3,Apartamento Próprio,87000.0,21000.0,48.0,Não
76,49,M,Divorciado,Pós-Graduação,2,Casa Própria,79000.0,16000.0,36.0,Não
77,44,M,Solteiro,Ensino Médio,3,Casa Própria,73000.0,18000.0,36.0,Não
78,39,F,Solteiro,Pós-Graduação,1,Casa Alugada,66000.0,15000.0,24.0,Sim
79,45,M,Solteiro,Ensino Médio,0,,59000.0,13000.0,36.0,Não
80,,F,Divorciado,Ensino Superior,2,Casa Própria,90000.0,22000.0,48.0,Não
81,40,M,Casado,Ensino Médio,1,Apartamento Alugado,67000.0,16000.0,36.0,Não
82,35,F,Casado,Ensino Médio,2,Casa Própria,61000.0,17000.0,36.0,Não
83,30,F,Solteiro,Ensino Superior,0,Casa Própria,44000.0,10000.0,24.0,Não
84,50,F,Solteiro,Pós-Graduação,3,Casa Própria,,,,Não
85,45,F,Casado,Ensino Superior,2,Casa Alugada,75000.0,16000.0,36.0,Não
86,40,M,Casado,Ensino Médio,3,Casa Própria,71000.0,17000.0,36.0,Não
87,36,F,Solteiro,Pós-Graduação,1,Apartamento Alugado,64000.0,14000.0,36.0,Não
88,31,M,Solteiro,Ensino Médio,0,Apartamento Alugado,48000.0,11000.0,24.0,Sim
89,,F,Casado,Ensino Superior,2,Casa Própria,85000.0,20000.0,48.0,Não
